Participant	Task	Stimulus_Side	Response	RT	ITI	Previous_Response	Previous_RT	Trial_Onset	Trial_End	Trial_Order	Duration	Conflict	Cue_Response	Cue_Response_RT	Stop_Signal	Stop_Signal_RT
S200302	Conflict_Resolution	RIGHT	RIGHT	504.182299999911	1483.3333363	n/a	n/a	2020-03-02 13:13:53.638573	2020-03-02 13:13:54.349552	59	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	444.582099999934	1216.6666691	n/a	n/a	2020-03-02 13:13:55.585513	2020-03-02 13:13:56.238589	60	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	474.880000000212	633.3333346	n/a	n/a	2020-03-02 13:13:56.891443	2020-03-02 13:13:57.574876	61	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	442.489199999955	1433.3333362	n/a	n/a	2020-03-02 13:13:59.027636	2020-03-02 13:13:59.678045	62	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	466.944300000023	1033.3333354	n/a	n/a	2020-03-02 13:14:00.731649	2020-03-02 13:14:01.405400	63	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	580.968000000212	1033.3333354	n/a	n/a	2020-03-02 13:14:02.457193	2020-03-02 13:14:03.245583	64	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	470.71219999998	1200.0000024	n/a	n/a	2020-03-02 13:14:04.463175	2020-03-02 13:14:05.142276	65	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	496.852600000011	716.6666681	n/a	n/a	2020-03-02 13:14:05.877198	2020-03-02 13:14:06.583080	66	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	436.854900000071	1183.3333357	n/a	n/a	2020-03-02 13:14:07.785555	2020-03-02 13:14:08.430211	67	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	586.71500000014	1450.0000029	n/a	n/a	2020-03-02 13:14:09.899226	2020-03-02 13:14:10.695114	68	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	422.464499999933	1333.333336	n/a	n/a	2020-03-02 13:14:12.047508	2020-03-02 13:14:12.678311	69	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	616.257599999926	1433.3333362	n/a	n/a	2020-03-02 13:14:14.134075	2020-03-02 13:14:14.957661	70	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	794.473299999936	1266.6666692	n/a	n/a	2020-03-02 13:14:16.243758	2020-03-02 13:14:17.246432	71	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	469.957000000022	1400.0000028	n/a	n/a	2020-03-02 13:14:18.664907	2020-03-02 13:14:19.342802	72	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	636.899599999879	566.6666678	n/a	n/a	2020-03-02 13:14:19.928960	2020-03-02 13:14:20.774457	73	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	445.865799999865	1166.666669	n/a	n/a	2020-03-02 13:14:21.960018	2020-03-02 13:14:22.613552	74	6.64973325	False	n/a	n/a	n/a	n/a
